
Host: sv1-c724

Timers On : Tue Mar 17 08:36:28 2026
Timers Off: Tue Mar 17 08:36:35 2026

Wall Time:        7.18 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
SAD Guess                           :      0.167u      0.000s      0.176w      1 calls
HF: Form G                          :      0.033u      0.000s      0.013w     49 calls
JK: D                               :      0.000u      0.000s      0.000w     49 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     49 calls
JK: JK                              :      0.017u      0.000s      0.011w     49 calls
DFH: compute_JK()                   :      0.017u      0.000s      0.010w     49 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     49 calls
DFH: compute_J                      :      0.017u      0.000s      0.003w     49 calls
DFH: compute_K                      :      0.000u      0.000s      0.005w     49 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     49 calls
HF: Form F                          :      0.000u      0.000s      0.000w     49 calls
HF: Form D                          :      0.000u      0.000s      0.000w     49 calls
HF: DIIS                            :      0.267u      0.017s      0.171w     48 calls
HF: Form C                          :      0.050u      0.000s      0.022w     48 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.011w      5 calls
Grad: S                             :      0.000u      0.000s      0.022w      5 calls
Grad: JK                            :      0.383u      0.000s      0.603w      5 calls
JKGrad: Amn                         :      0.083u      0.000s      0.049w      5 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      5 calls
JKGrad: AB                          :      0.067u      0.000s      0.041w      5 calls
JKGrad: UV                          :      0.000u      0.000s      0.001w      5 calls
JKGrad: ABx                         :      0.033u      0.000s      0.032w      5 calls
JKGrad: Amnx                        :      0.200u      0.000s      0.464w      5 calls
Grad: XC                            :      0.000u      0.000s      0.000w      5 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.067u      0.017s      0.267w      5 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.017s      0.250w      5 calls
DFH: initialize()                   :      0.150u      0.017s      0.230w      5 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.024w     10 calls
| DFH: AO Construction              :      0.017u      0.000s      0.060w      5 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.003w      5 calls
HF: Form core H                     :      0.000u      0.000s      0.025w      5 calls
HF: Form S/X                        :      0.000u      0.000s      0.008w      5 calls
HF: Guess                           :      0.167u      0.017s      0.181w      5 calls
| SAD Guess                         :      0.167u      0.000s      0.176w      1 calls
HF: Form G                          :      0.033u      0.000s      0.013w     49 calls
| JK: D                             :      0.000u      0.000s      0.000w     49 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     49 calls
| JK: JK                            :      0.017u      0.000s      0.011w     49 calls
| | DFH: compute_JK()               :      0.017u      0.000s      0.010w     49 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     49 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.003w     49 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.005w     49 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     49 calls
HF: Form F                          :      0.000u      0.000s      0.000w     49 calls
HF: Form D                          :      0.000u      0.000s      0.000w     49 calls
HF: DIIS                            :      0.267u      0.017s      0.171w     48 calls
HF: Form C                          :      0.050u      0.000s      0.022w     48 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.011w      5 calls
Grad: S                             :      0.000u      0.000s      0.022w      5 calls
Grad: JK                            :      0.383u      0.000s      0.603w      5 calls
| JKGrad: Amn                       :      0.083u      0.000s      0.049w      5 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.017w      5 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      5 calls
| JKGrad: AB                        :      0.067u      0.000s      0.041w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      5 calls
| JKGrad: UV                        :      0.000u      0.000s      0.001w      5 calls
| JKGrad: ABx                       :      0.033u      0.000s      0.032w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      5 calls
| JKGrad: Amnx                      :      0.200u      0.000s      0.464w      5 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.019w      5 calls
Grad: XC                            :      0.000u      0.000s      0.000w      5 calls

**************************************************************************************

Host: sv1-c724

Timers On : Tue Mar 17 08:38:24 2026
Timers Off: Tue Mar 17 08:38:26 2026

Wall Time:        2.10 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.033u      0.000s      0.021w      3 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.042w     21 calls
DFH: initialize()                   :      0.067u      0.000s      0.046w      3 calls
DFH: AO Construction                :      0.000u      0.000s      0.009w      3 calls
DFH: AO-Met. Contraction            :      0.017u      0.000s      0.002w      3 calls
HF: Form core H                     :      0.000u      0.000s      0.004w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      3 calls
HF: Guess                           :      0.067u      0.000s      0.041w      3 calls
SAD Guess                           :      0.067u      0.000s      0.039w      1 calls
HF: Form G                          :      0.017u      0.000s      0.006w     31 calls
JK: D                               :      0.000u      0.000s      0.000w     31 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     31 calls
JK: JK                              :      0.017u      0.000s      0.005w     31 calls
DFH: compute_JK()                   :      0.017u      0.000s      0.005w     31 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     31 calls
DFH: compute_J                      :      0.000u      0.000s      0.001w     31 calls
DFH: compute_K                      :      0.017u      0.000s      0.003w     31 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     31 calls
HF: Form F                          :      0.000u      0.000s      0.000w     31 calls
HF: Form D                          :      0.000u      0.000s      0.000w     31 calls
HF: DIIS                            :      0.133u      0.000s      0.086w     30 calls
HF: Form C                          :      0.017u      0.000s      0.011w     30 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.001w      3 calls
Grad: S                             :      0.000u      0.000s      0.000w      3 calls
Grad: JK                            :      0.167u      0.000s      0.106w      3 calls
JKGrad: Amn                         :      0.050u      0.000s      0.025w      3 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      3 calls
JKGrad: AB                          :      0.017u      0.000s      0.019w      3 calls
JKGrad: UV                          :      0.000u      0.000s      0.000w      3 calls
JKGrad: ABx                         :      0.033u      0.000s      0.010w      3 calls
JKGrad: Amnx                        :      0.067u      0.000s      0.044w      3 calls
Grad: XC                            :      0.000u      0.000s      0.000w      3 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.033u      0.000s      0.021w      3 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.014w      3 calls
DFH: initialize()                   :      0.067u      0.000s      0.046w      3 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.010w      6 calls
| DFH: AO Construction              :      0.000u      0.000s      0.009w      3 calls
| DFH: AO-Met. Contraction          :      0.017u      0.000s      0.002w      3 calls
HF: Form core H                     :      0.000u      0.000s      0.004w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      3 calls
HF: Guess                           :      0.067u      0.000s      0.041w      3 calls
| SAD Guess                         :      0.067u      0.000s      0.039w      1 calls
HF: Form G                          :      0.017u      0.000s      0.006w     31 calls
| JK: D                             :      0.000u      0.000s      0.000w     31 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     31 calls
| JK: JK                            :      0.017u      0.000s      0.005w     31 calls
| | DFH: compute_JK()               :      0.017u      0.000s      0.005w     31 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     31 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.001w     31 calls
| | | DFH: compute_K                :      0.017u      0.000s      0.003w     31 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     31 calls
HF: Form F                          :      0.000u      0.000s      0.000w     31 calls
HF: Form D                          :      0.000u      0.000s      0.000w     31 calls
HF: DIIS                            :      0.133u      0.000s      0.086w     30 calls
HF: Form C                          :      0.017u      0.000s      0.011w     30 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.001w      3 calls
Grad: S                             :      0.000u      0.000s      0.000w      3 calls
Grad: JK                            :      0.167u      0.000s      0.106w      3 calls
| JKGrad: Amn                       :      0.050u      0.000s      0.025w      3 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.009w      3 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      3 calls
| JKGrad: AB                        :      0.017u      0.000s      0.019w      3 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      3 calls
| JKGrad: UV                        :      0.000u      0.000s      0.000w      3 calls
| JKGrad: ABx                       :      0.033u      0.000s      0.010w      3 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      3 calls
| JKGrad: Amnx                      :      0.067u      0.000s      0.044w      3 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.010w      3 calls
Grad: XC                            :      0.000u      0.000s      0.000w      3 calls

**************************************************************************************

Host: sv1-c724

Timers On : Tue Mar 17 08:38:24 2026
Timers Off: Tue Mar 17 08:38:27 2026

Wall Time:        2.64 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.083u      0.000s      0.036w      5 calls
Libint2ERI::Libint2ERI              :      0.117u      0.017s      0.067w     35 calls
DFH: initialize()                   :      0.117u      0.017s      0.071w      5 calls
DFH: AO Construction                :      0.033u      0.000s      0.016w      5 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.002w      5 calls
HF: Form core H                     :      0.000u      0.000s      0.007w      5 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      5 calls
HF: Guess                           :      0.083u      0.017s      0.055w      5 calls
SAD Guess                           :      0.083u      0.017s      0.053w      1 calls
HF: Form G                          :      0.000u      0.000s      0.011w     49 calls
JK: D                               :      0.000u      0.000s      0.000w     49 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     49 calls
JK: JK                              :      0.000u      0.000s      0.009w     49 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.009w     49 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     49 calls
DFH: compute_J                      :      0.000u      0.000s      0.002w     49 calls
DFH: compute_K                      :      0.000u      0.000s      0.005w     49 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     49 calls
HF: Form F                          :      0.000u      0.000s      0.000w     49 calls
HF: Form D                          :      0.000u      0.000s      0.000w     49 calls
HF: DIIS                            :      0.250u      0.000s      0.140w     48 calls
HF: Form C                          :      0.033u      0.000s      0.020w     48 calls
Grad: V T Perturb                   :      0.017u      0.000s      0.002w      5 calls
Grad: S                             :      0.000u      0.000s      0.001w      5 calls
Grad: JK                            :      0.250u      0.017s      0.176w      5 calls
JKGrad: Amn                         :      0.067u      0.000s      0.042w      5 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      5 calls
JKGrad: AB                          :      0.050u      0.000s      0.030w      5 calls
JKGrad: UV                          :      0.000u      0.000s      0.001w      5 calls
JKGrad: ABx                         :      0.033u      0.017s      0.015w      5 calls
JKGrad: Amnx                        :      0.100u      0.000s      0.073w      5 calls
Grad: XC                            :      0.000u      0.000s      0.000w      5 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.083u      0.000s      0.036w      5 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.023w      5 calls
DFH: initialize()                   :      0.117u      0.017s      0.071w      5 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.017s      0.014w     10 calls
| DFH: AO Construction              :      0.033u      0.000s      0.016w      5 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.002w      5 calls
HF: Form core H                     :      0.000u      0.000s      0.007w      5 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      5 calls
HF: Guess                           :      0.083u      0.017s      0.055w      5 calls
| SAD Guess                         :      0.083u      0.017s      0.053w      1 calls
HF: Form G                          :      0.000u      0.000s      0.011w     49 calls
| JK: D                             :      0.000u      0.000s      0.000w     49 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     49 calls
| JK: JK                            :      0.000u      0.000s      0.009w     49 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.009w     49 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     49 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.002w     49 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.005w     49 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     49 calls
HF: Form F                          :      0.000u      0.000s      0.000w     49 calls
HF: Form D                          :      0.000u      0.000s      0.000w     49 calls
HF: DIIS                            :      0.250u      0.000s      0.140w     48 calls
HF: Form C                          :      0.033u      0.000s      0.020w     48 calls
Grad: V T Perturb                   :      0.017u      0.000s      0.002w      5 calls
Grad: S                             :      0.000u      0.000s      0.001w      5 calls
Grad: JK                            :      0.250u      0.017s      0.176w      5 calls
| JKGrad: Amn                       :      0.067u      0.000s      0.042w      5 calls
| | Libint2ERI::Libint2ERI          :      0.050u      0.000s      0.015w      5 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      5 calls
| JKGrad: AB                        :      0.050u      0.000s      0.030w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      5 calls
| JKGrad: UV                        :      0.000u      0.000s      0.001w      5 calls
| JKGrad: ABx                       :      0.033u      0.017s      0.015w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      5 calls
| JKGrad: Amnx                      :      0.100u      0.000s      0.073w      5 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.015w      5 calls
Grad: XC                            :      0.000u      0.000s      0.000w      5 calls

**************************************************************************************

Host: sv1-c724

Timers On : Tue Mar 17 08:38:28 2026
Timers Off: Tue Mar 17 08:38:54 2026

Wall Time:       26.20 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.017u      0.000s      0.008w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.009w      3 calls
DFH: initialize()                   :      0.100u      0.017s      0.103w      1 calls
DFH: AO Construction                :      0.033u      0.000s      0.034w      1 calls
DFH: AO-Met. Contraction            :      0.017u      0.017s      0.011w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.067u      0.000s      0.038w      1 calls
SAD Guess                           :      0.050u      0.000s      0.036w      1 calls
HF: Form G                          :      0.033u      0.000s      0.019w      9 calls
JK: D                               :      0.000u      0.000s      0.000w      9 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      9 calls
JK: JK                              :      0.033u      0.000s      0.018w      9 calls
DFH: compute_JK()                   :      0.033u      0.000s      0.018w      9 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      9 calls
DFH: compute_J                      :      0.000u      0.000s      0.004w      9 calls
DFH: compute_K                      :      0.033u      0.000s      0.014w      9 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      9 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      0.067u      0.017s      0.029w      8 calls
HF: Form C                          :      0.000u      0.000s      0.005w      8 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.017u      0.000s      0.008w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.005w      1 calls
DFH: initialize()                   :      0.100u      0.017s      0.103w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.004w      2 calls
| DFH: AO Construction              :      0.033u      0.000s      0.034w      1 calls
| DFH: AO-Met. Contraction          :      0.017u      0.017s      0.011w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.067u      0.000s      0.038w      1 calls
| SAD Guess                         :      0.050u      0.000s      0.036w      1 calls
HF: Form G                          :      0.033u      0.000s      0.019w      9 calls
| JK: D                             :      0.000u      0.000s      0.000w      9 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      9 calls
| JK: JK                            :      0.033u      0.000s      0.018w      9 calls
| | DFH: compute_JK()               :      0.033u      0.000s      0.018w      9 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      9 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.004w      9 calls
| | | DFH: compute_K                :      0.033u      0.000s      0.014w      9 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      9 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      0.067u      0.017s      0.029w      8 calls
HF: Form C                          :      0.000u      0.000s      0.005w      8 calls

**************************************************************************************

Host: sv1-c724

Timers On : Tue Mar 17 12:50:39 2026
Timers Off: Tue Mar 17 12:50:42 2026

Wall Time:        2.59 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.067u      0.017s      0.039w      5 calls
Libint2ERI::Libint2ERI              :      0.067u      0.017s      0.074w     35 calls
DFH: initialize()                   :      0.100u      0.017s      0.077w      5 calls
DFH: AO Construction                :      0.033u      0.000s      0.016w      5 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.002w      5 calls
HF: Form core H                     :      0.017u      0.000s      0.007w      5 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      5 calls
HF: Guess                           :      0.050u      0.000s      0.042w      5 calls
SAD Guess                           :      0.050u      0.000s      0.040w      1 calls
HF: Form G                          :      0.017u      0.000s      0.010w     48 calls
JK: D                               :      0.000u      0.000s      0.000w     48 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     48 calls
JK: JK                              :      0.000u      0.000s      0.008w     48 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.008w     48 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     48 calls
DFH: compute_J                      :      0.000u      0.000s      0.002w     48 calls
DFH: compute_K                      :      0.000u      0.000s      0.004w     48 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     48 calls
HF: Form F                          :      0.000u      0.000s      0.000w     48 calls
HF: Form D                          :      0.000u      0.000s      0.000w     48 calls
HF: DIIS                            :      0.217u      0.000s      0.130w     47 calls
HF: Form C                          :      0.033u      0.017s      0.018w     47 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.002w      5 calls
Grad: S                             :      0.000u      0.000s      0.001w      5 calls
Grad: JK                            :      0.250u      0.017s      0.172w      5 calls
JKGrad: Amn                         :      0.067u      0.000s      0.039w      5 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      5 calls
JKGrad: AB                          :      0.033u      0.017s      0.031w      5 calls
JKGrad: UV                          :      0.000u      0.000s      0.001w      5 calls
JKGrad: ABx                         :      0.033u      0.000s      0.015w      5 calls
JKGrad: Amnx                        :      0.117u      0.000s      0.070w      5 calls
Grad: XC                            :      0.000u      0.000s      0.000w      5 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.067u      0.017s      0.039w      5 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.017s      0.027w      5 calls
DFH: initialize()                   :      0.100u      0.017s      0.077w      5 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.020w     10 calls
| DFH: AO Construction              :      0.033u      0.000s      0.016w      5 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.002w      5 calls
HF: Form core H                     :      0.017u      0.000s      0.007w      5 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      5 calls
HF: Guess                           :      0.050u      0.000s      0.042w      5 calls
| SAD Guess                         :      0.050u      0.000s      0.040w      1 calls
HF: Form G                          :      0.017u      0.000s      0.010w     48 calls
| JK: D                             :      0.000u      0.000s      0.000w     48 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     48 calls
| JK: JK                            :      0.000u      0.000s      0.008w     48 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.008w     48 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     48 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.002w     48 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.004w     48 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     48 calls
HF: Form F                          :      0.000u      0.000s      0.000w     48 calls
HF: Form D                          :      0.000u      0.000s      0.000w     48 calls
HF: DIIS                            :      0.217u      0.000s      0.130w     47 calls
HF: Form C                          :      0.033u      0.017s      0.018w     47 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.002w      5 calls
Grad: S                             :      0.000u      0.000s      0.001w      5 calls
Grad: JK                            :      0.250u      0.017s      0.172w      5 calls
| JKGrad: Amn                       :      0.067u      0.000s      0.039w      5 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.014w      5 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      5 calls
| JKGrad: AB                        :      0.033u      0.017s      0.031w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      5 calls
| JKGrad: UV                        :      0.000u      0.000s      0.001w      5 calls
| JKGrad: ABx                       :      0.033u      0.000s      0.015w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      5 calls
| JKGrad: Amnx                      :      0.117u      0.000s      0.070w      5 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.013w      5 calls
Grad: XC                            :      0.000u      0.000s      0.000w      5 calls

**************************************************************************************

Host: sv1-c724

Timers On : Tue Mar 17 12:50:40 2026
Timers Off: Tue Mar 17 12:50:42 2026

Wall Time:        2.60 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.050u      0.017s      0.039w      5 calls
Libint2ERI::Libint2ERI              :      0.083u      0.017s      0.074w     35 calls
DFH: initialize()                   :      0.117u      0.000s      0.077w      5 calls
DFH: AO Construction                :      0.017u      0.000s      0.016w      5 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.002w      5 calls
HF: Form core H                     :      0.000u      0.000s      0.007w      5 calls
